IsHoliday,Weekly_Sales
0,18689.54
0,19050.66
1,20911.25
0,25293.49
0,33305.92
0,45773.03
0,46788.75
1,23350.88
0,16567.69
0,16894.4
0,18365.1
0,18378.16
0,23510.49
1,36988.49
0,54060.1
0,20124.22
0,20113.03
0,21140.07
0,22366.88
0,22107.7
0,28952.86
0,57592.12
0,34684.21
0,16976.19
0,16347.6
0,17147.44
0,18164.2
0,18517.79
0,16963.55
0,16065.49
0,17666
0,17558.82
0,16633.41
0,15722.82
0,17823.37
0,16566.18
0,16348.06
0,15731.18
0,16628.31
0,16119.92
0,17330.7
0,16286.4
0,16680.24
1,18322.37
0,19616.22
0,19251.5
0,18947.81
0,21904.47
0,22764.01
0,24185.27
0,27390.81
0,44936.47
0,43997.78
1,44259.59
0,45928.14
0,49357.43
0,51137.42
0,65615.36
1,43539.94
0,44481.38
0,43353.09
0,43753.43
0,41556.23
0,54322.24
1,50581.06
0,46085.47
0,47080.12
0,52608.51
0,48563.69
0,47346.32
0,44796.03
0,46529.68
0,51805.88
0,43991.18
0,45561.85
0,45456.23
0,50501.3
0,46717.76
0,44411.23
0,45817.07
0,47425.29
0,49439.58
0,46637.48
0,46075
0,47629.14
0,49771.92
0,44411.95
0,45108.22
0,45008.22
0,49424.06
0,46729.91
0,46350.97
0,44972.52
0,50995.5
1,47344.5
0,44493.61
0,43541.07
0,45784.76
0,48577.08
0,42112.67
0,42354.72
0,43134.88
0,9959.64
0,10104.36
1,9317.56
0,10146.54
0,12955.55
0,13180.05
0,13667.88
1,8848.44
0,13926.04
0,13822.49
0,11702.08
0,10613.17
0,12485.78
1,12388.85
0,10237.78
0,10502.4
0,11387.31
0,11925.71
0,8845.73
0,7910.22
0,9129.23
0,9335.24
0,7927.73
0,8647.36
0,8635.62
0,10655.35
0,10342.72
0,8609.82
0,8345.33
0,7175.77
0,8614.64
0,8016.26
0,7301.41
0,7577.59
0,8473.71
0,13126.15
0,20126.95
0,22716.7
0,30331.69
0,28257.3
0,31905.97
0,43712.78
0,50701.3
1,18368.51
0,14288.22
0,13403.63
0,13085.95
0,11676.98
0,10487.17
0,8548.87
0,9350.9
0,36826.52
0,37656.58
1,46564.14
0,38489.63
0,38729.31
0,38266.47
0,47785.93
1,37371.22
0,40925.76
0,36582.36
0,33780.2
0,33613.91
0,40274.83
1,39305.13
0,36550.46
0,34953.85
0,38459.98
0,38934.77
0,38125.32
0,36586.52
0,37718.51
0,42060.21
0,37449.26
0,36350.03
0,36894.54
0,41897.55
0,35840.06
0,34536.29
0,38270.34
0,41566.55
0,41124.27
0,39019.74
0,37400.31
0,39758.77
0,44936.96
0,38073.91
0,38080.05
0,35197.59
0,41305.39
0,40343.83
0,38105.9
0,36674.67
0,37802.97
1,39549.27
0,35044.06
0,34507.34
0,34647.33
0,39311.93
0,35446.18
0,35549.19
0,36292.6
0,31002.65
0,27339.37
1,79340.15
0,32572.27
0,41782.13
0,43479.7
0,61483.82
1,34981.76
0,23105.81
0,19281.61
0,19298.42
0,21376.42
0,28307.43
1,38096.04
0,46219.96
0,30797.88
0,30642.53
0,25492.21
0,29345.72
0,25442.13
0,22392.09
0,28386.81
0,18458.33
0,16645.01
0,17170.39
0,18953.07
0,17277.63
0,17955.73
0,18625.67
0,17233.25
0,24752.99
0,21376.63
0,24337.24
0,20233.9
0,19684.48
0,18089.61
0,17896.46
0,14105.4
0,17615.28
0,18232.46
0,15440.65
0,22446.23
0,18615.76
1,18236.15
