,Weekly Sales,Predicted Sales_NN,Predicted Sales_DNN
0,329.00000000000034,1320.7444,1503.7009
1,3936.64,3615.3152,4472.048
2,61691.490000000005,57115.87,55913.58
3,11097.86,10268.382,9854.831
4,8462.08,9541.431,13374.851
5,9093.24,8949.755,8227.062
6,220.00000000000009,313.35834,-169.16243
7,8849.62,8805.43,8183.639
8,10065.2,13136.468,12563.505
9,8268.04,7629.9004,7111.402
10,591.0,844.9823,458.36136
11,870.0000000000001,3098.4758,1800.7866
12,8148.150000000001,9391.407,8388.638
13,87.99999999999993,318.07996,-169.16243
14,148.49999999999997,492.52618,-138.51123
15,644.3200000000003,1446.4304,714.6801
16,14302.65,14717.219,13661.077
17,37493.270000000004,43517.9,42100.89
18,9096.659999999998,9023.566,8438.58
19,6391.090000000001,8521.891,7665.851
20,11163.579999999998,10605.841,10388.22
21,29247.180000000008,28432.025,27620.682
22,34343.48000000001,27989.633,26675.91
23,7265.000000000002,5356.9146,4578.814
24,67779.25,46084.543,45081.637
25,18228.109999999997,20626.668,19627.293
26,10.000000000000263,318.29947,-169.16243
27,10417.72,10708.159,10577.666
28,62.45000000000009,276.90497,-169.16243
29,2485.9899999999993,3013.8232,2302.0156
30,2900.0,1289.3474,1813.2806
31,29329.78,34986.008,34135.49
32,3758.060000000001,4215.421,3644.5298
33,18170.02,18714.943,17994.13
34,10880.53,12717.189,12251.32
35,4076.7699999999995,3850.3347,2493.4353
36,8065.330000000001,8445.7705,7469.9985
37,45219.3,47754.69,48330.664
38,100712.42,83080.97,83971.055
39,19386.29,18503.66,18742.873
40,30659.400000000005,34804.8,32786.516
41,63951.79,66061.266,63920.332
42,2571.3000000000006,3287.699,2586.014
43,1426.5200000000004,1503.646,1177.447
44,2.4999999999997815,365.73337,-169.16243
45,18036.079999999998,17043.562,16252.129
46,9781.25,4905.0356,4832.2812
47,23710.840000000007,23990.41,22417.225
48,68367.94,72388.586,71104.734
49,5997.960000000001,7258.436,6386.2505
50,8872.140000000001,7691.03,7290.89
51,29613.670000000006,31176.664,30561.648
52,1464.51,1470.2014,1146.5647
53,13114.389999999998,12541.649,11684.521
54,26799.77,27305.717,26406.71
55,1295.0000000000005,1310.453,798.1576
56,10075.07,10352.099,9627.818
57,7367.43,6936.596,4336.474
58,2.960000000000087,248.29718,-169.16243
59,7333.739999999999,7401.3115,6857.4062
60,2398.5499999999997,3633.334,2182.4927
61,29154.910000000007,28631.486,27214.783
62,519.3100000000002,769.75653,316.69388
63,2751.82,1755.7462,1279.1243
64,810.9399999999997,827.4404,518.7838
65,15439.26,15990.679,15756.471
66,4011.41,4756.655,5465.4683
67,40879.34,33715.79,32304.87
